<Phenotype>
taxa	data	data	data	data
Taxa	Delta_CT	Data_Set	Standard	Maternal_Parent
301-1-41	19.235	1-80	First_combo	301
301-5-20	16.938	1-80	First_combo	301
301-4-25	17.558	1-80	First_combo	301
301-4-20	18.517	1-80	First_combo	301
301-1-27	20.247	1-80	First_combo	301
301-2-40	18.832	1-80	First_combo	301
302-1-41	19.561	1-80	First_combo	302
301-1-35	18.723	1-80	First_combo	301
301-4-28	18.466	1-80	First_combo	301
301-4-32	18.487	1-80	First_combo	301
301-1-47	17.229	1-80	First_combo	301
301-5-22	16.962	1-80	First_combo	301
301-4-38	18.76	1-80	First_combo	301
301-3-44	18.507	1-80	First_combo	301
301-1-28	18.829	1-80	First_combo	301
301-2-30	17.868	1-80	First_combo	301
301-2-37	15.741	1-80	First_combo	301
301-1-39	18.006	1-80	First_combo	301
301-1-38	18.236	1-80	First_combo	301
301-5-10	16.721	1-80	First_combo	301
302-1-44	16.451	1-80	First_combo	302
301-2-49	18.67	1-80	First_combo	301
302-1-45	17.223	1-80	First_combo	302
301-4-26	17.523	1-80	First_combo	301
301-1-21	17.469	1-80	First_combo	301
301-5-41	17.015	1-80	First_combo	301
301-4-35	17.209	1-80	First_combo	301
301-4-41	15.613	1-80	First_combo	301
302-1-28	17.778	1-80	First_combo	302
301-4-46	18.017	1-80	First_combo	301
301-1-30	16.416	1-80	First_combo	301
301-2-39	17.926	1-80	First_combo	301
302-1-16	18.086	1-80	First_combo	302
301-1-40	17.873	1-80	First_combo	301
301-4-19	18.072	1-80	First_combo	301
301-5-21	18.938	1-80	First_combo	301
301-3-31	19.531	1-80	First_combo	301
301-1-43	19.861	1-80	First_combo	301
301-1-19	17.757	1-80	First_combo	301
301-5-31	18.076	1-80	First_combo	301
302-1-26	16.447	1-80	First_combo	302
301-4-37	17.57	1-80	First_combo	301
301-2-35	17.136	1-80	First_combo	301
301-5-6	15.965	1-80	First_combo	301
301-4-13	17.769	1-80	First_combo	301
301-4-14	17.365	1-80	First_combo	301
301-4-18	17.525	1-80	First_combo	301
301-5-19	18.945	1-80	First_combo	301
301-2-41	19.839	1-80	First_combo	301
302-1-17	19.145	1-80	First_combo	302
301-1-44	16.454	1-80	First_combo	301
301-5-32	17.477	1-80	First_combo	301
302-1-22	19.555	1-80	First_combo	302
302-1-21	17.961	1-80	First_combo	302
301-5-42	17.746	1-80	First_combo	301
301-1-48	17.948	1-80	First_combo	301
301-2-20	17.651	1-80	First_combo	301
301-4-43	20.295	1-80	First_combo	301
301-2-36	19.667	1-80	First_combo	301
302-1-33	20.779	1-80	First_combo	302
302-1-12	20.042	1-80	First_combo	302
302-1-40	19.746	1-80	First_combo	302
301-3-34	18.656	1-80	First_combo	301
301-3-40	16.874	1-80	First_combo	301
301-5-27	16.166	1-80	First_combo	301
301-1-15	17.926	1-80	First_combo	301
301-3-45	17.962	1-80	First_combo	301
302-1-3	16.465	1-80	First_combo	302
302-1-23	18.696	1-80	First_combo	302
302-1-39	20.59	1-80	First_combo	302
301-5-28	18.018	1-80	First_combo	301
301-2-8	17.706	1-80	First_combo	301
301-5-7	20.405	1-80	First_combo	301
302-1-25	17.773	1-80	First_combo	302
301-3-37	18.326	1-80	First_combo	301
302-1-18	16.389	1-80	First_combo	302
302-1-20	17.065	1-80	First_combo	302
314-3-43	10.972	1041-1120	Second_combo	314
314-4-1	12.711	1041-1120	Second_combo	314
314-2-6	11.475	1041-1120	Second_combo	314
314-3-47	12.052	1041-1120	Second_combo	314
314-5-14	12.038	1041-1120	Second_combo	314
314-2-48	11.492	1041-1120	Second_combo	314
314-4-22	11.569	1041-1120	Second_combo	314
314-5-12	11.332	1041-1120	Second_combo	314
314-4-28	10.756	1041-1120	Second_combo	314
314-3-18	11.848	1041-1120	Second_combo	314
314-3-26	12.569	1041-1120	Second_combo	314
314-2-35	13.283	1041-1120	Second_combo	314
314-5-45	10.351	1041-1120	Second_combo	314
314-5-41	12.8	1041-1120	Second_combo	314
314-5-33	12.02	1041-1120	Second_combo	314
314-3-42	11.833	1041-1120	Second_combo	314
314-5-27	12.083	1041-1120	Second_combo	314
314-3-8	12.565	1041-1120	Second_combo	314
314-3-37	12.256	1041-1120	Second_combo	314
314-3-23	12.144	1041-1120	Second_combo	314
314-4-21	10.461	1041-1120	Second_combo	314
314-3-45	12.246	1041-1120	Second_combo	314
314-2-45	12.988	1041-1120	Second_combo	314
314-3-38	11.924	1041-1120	Second_combo	314
314-3-49	13.375	1041-1120	Second_combo	314
314-3-21	11.674	1041-1120	Second_combo	314
314-2-7	12.289	1041-1120	Second_combo	314
314-2-4	11.884	1041-1120	Second_combo	314
314-5-25	12.435	1041-1120	Second_combo	314
314-4-12	12.122	1041-1120	Second_combo	314
314-4-15	11.999	1041-1120	Second_combo	314
314-5-48	11.616	1041-1120	Second_combo	314
314-3-16	12.033	1041-1120	Second_combo	314
314-5-30	11.828	1041-1120	Second_combo	314
314-2-40	12.646	1041-1120	Second_combo	314
314-3-19	12.5	1041-1120	Second_combo	314
314-4-31	13.489	1041-1120	Second_combo	314
314-2-5	11.725	1041-1120	Second_combo	314
314-3-48	12.159	1041-1120	Second_combo	314
314-5-10	12.003	1041-1120	Second_combo	314
314-3-7	12.226	1041-1120	Second_combo	314
314-3-30	12.554	1041-1120	Second_combo	314
314-5-22	12.275	1041-1120	Second_combo	314
314	12.228	1041-1120	Second_combo	314
314-3-17	11.809	1041-1120	Second_combo	314
314-3-4	11.837	1041-1120	Second_combo	314
314-4-45	12.062	1041-1120	Second_combo	314
314-5-35	11.478	1041-1120	Second_combo	314
314-5-38	12.422	1041-1120	Second_combo	314
314-4-7	9.315	1041-1120	Second_combo	314
314-5-42	12.753	1041-1120	Second_combo	314
314-4-30	11.953	1041-1120	Second_combo	314
