"ID" "Maternal_Parent" "Data_Set" "Delta_CT" "Delta_CT_OG" "Fes_to_Epi_Ratio" "Standard" "Alkaloid_Plate" "ng.g" "Extraction_Date" "Extractor" "Harvest_Date"
"301" "301" "315x320" -9.155 -6.65333333333333 0.602440507208616 "Pre_combo" "23" 4894.194 "03/16/23" "Darrian" "2/27/2023"
"301-1-15" "301" "1-80" -17.926 -2.12666666666667 0.445821869106872 "First_combo" "1" 8754.563 "04/28/23" "Holly" "2/16/2023"
"301-1-19" "301" "1-80" -17.757 -2.21333333333333 0.443511235074744 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-21" "301" "1-80" -17.469 -2.26333333333334 0.441581689735639 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-27" "301" "1-80" -20.247 -4.29333333333333 0.407428002809646 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-28" "301" "1-80" -18.829 -3.71333333333333 0.413865023035736 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-30" "301" "1-80" -16.416 -1.53 0.455432078288273 "First_combo" "1" 10400.047 "04/28/23" "Holly" "2/16/2023"
"301-1-33" "301" NA NA NA NA NA "1" 6768.742 NA NA "2/16/2023"
"301-1-35" "301" "1-80" -18.723 -3.21 0.424757281553398 "First_combo" "1" 4476.423 "04/28/23" "Holly" "2/16/2023"
"301-1-38" "301" "1-80" -18.236 -2.82 0.431617005360928 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-39" "301" "1-80" -18.006 -2.70333333333333 0.433452897866717 "First_combo" "2" 6823.666 "04/28/23" "Holly" "2/16/2023"
"301-1-40" "301" "1-80" -17.873 -3.45 0.415666786543303 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-41" "301" "1-80" -19.235 -4.15666666666666 0.405666790260784 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-1-43" "301" "1-80" -19.861 -4.51 0.400748272636756 "First_combo" "2" 6775.938 "04/28/23" "Holly" "2/8/2023"
"301-1-44" "301" "1-80" -16.454 -1.69 0.451862216003731 "First_combo" NA NA "04/28/23" "Holly" "2/8/2023"
"301-1-47" "301" "1-80" -17.229 -2.24 0.441432971308154 "First_combo" NA NA "04/28/23" "Holly" "2/8/2023"
"301-1-48" "301" "1-80" -17.948 -2.37333333333333 0.440523690773067 "First_combo" "2" 9432.31 "04/28/23" "Holly" "2/8/2023"
"301-2-20" "301" "1-80" -17.651 -2.8 0.430024541462154 "First_combo" "3" 6118.603 "04/28/23" "Holly" "2/8/2023"
"301-2-25" "301" NA NA NA NA NA "3" 7249.261 NA NA "2/8/2023"
"301-2-30" "301" "1-80" -17.868 -2.40666666666667 0.439575949565599 "First_combo" "3" 13798.519 "04/28/23" "Holly" "2/8/2023"
"301-2-35" "301" "1-80" -17.136 -1.72666666666667 0.452611403929085 "First_combo" NA NA "04/28/23" "Holly" "2/8/2023"
"301-2-36" "301" "1-80" -19.667 -3.71 0.417532948319266 "First_combo" "3" 6992.972 "04/28/23" "Holly" "2/8/2023"
"301-2-37" "301" "1-80" -15.741 -1.76333333333334 0.44834232845027 "First_combo" "4" 10257.342 "04/28/23" "Holly" "2/8/2023"
"301-2-39" "301" "1-80" -17.926 -2.62666666666667 0.434885407143533 "First_combo" "4" 9099.448 "04/28/23" "Darrian" "2/8/2023"
"301-2-40" "301" "1-80" -18.832 -1.96 0.451361981063365 "First_combo" "4" 6035.952 "04/28/23" "Darrian" "2/8/2023"
"301-2-41" "301" "1-80" -19.839 -3.78666666666667 0.416602952420161 "First_combo" "4" 7584.861 "04/28/23" "Darrian" "2/16/2023"
"301-2-49" "301" "1-80" -18.67 -2.91333333333333 0.431052872162121 "First_combo" "5" 7658.916 "04/28/23" "Darrian" "2/15/2023"
"301-2-6" "301" NA NA NA NA NA "2" 7002.496 NA NA "2/16/2023"
"301-2-8" "301" "1-80" -17.706 -1.99666666666667 0.448067331670823 "First_combo" NA NA "04/28/23" "Darrian" "2/16/2023"
"301-3-10" "301" NA NA NA NA NA "5" 8999.929 NA NA "2/16/2023"
"301-3-27" "301" NA NA NA NA NA "5" 10581.271 NA NA "2/16/2023"
"301-3-31" "301" "1-80" -19.531 -3.09666666666667 0.430051359869266 "First_combo" "5" 8131.332 "04/28/23" "Darrian" "2/16/2023"
"301-3-34" "301" "1-80" -18.656 -2.70666666666667 0.435470693255061 "First_combo" "6" 7509.484 "04/28/23" "Darrian" "2/16/2023"
"301-3-36" "301" NA NA NA NA NA "6" 15404.343 NA NA "2/16/2023"
"301-3-37" "301" "1-80" -18.326 -2.81666666666667 0.431998512273742 "First_combo" "6" 7582.369 "04/28/23" "Darrian" "2/16/2023"
"301-3-40" "301" "1-80" -16.874 -2.22333333333333 0.440721222365848 "First_combo" "6" 9121.682 "04/28/23" "Darrian" "2/16/2023"
"301-3-44" "301" "1-80" -18.507 -3.02333333333333 0.428090234857849 "First_combo" "7" 8513.895 "04/28/23" "Darrian" "2/16/2023"
"301-3-45" "301" "1-80" -17.962 -2.60666666666667 0.43545903133545 "First_combo" "7" 8580.615 "04/28/23" "Darrian" "2/16/2023"
"301-3-48" "301" NA NA NA NA NA "7" 11919.102 "04/28/23" "Darrian" "2/16/2023"
"301-4-13" "301" "1-80" -17.769 -2.57666666666666 0.435474647350362 "First_combo" NA NA "04/28/23" "Darrian" "2/16/2023"
"301-4-14" "301" "1-80" -17.365 -2.14666666666667 0.443892909754692 "First_combo" "7" 7485.27 "04/28/23" "Darrian" "2/16/2023"
"301-4-18" "301" "1-80" -17.525 -2.47333333333333 0.437038226790877 "First_combo" "8" 8038.837 "04/28/23" "Darrian" "2/16/2023"
"301-4-19" "301" "1-80" -18.072 -2.53 0.4375 "First_combo" "8" 9813.865 "04/28/23" "Darrian" "2/16/2023"
"301-4-20" "301" "1-80" -18.517 -2.79666666666667 0.433072071520421 "First_combo" "8" 11725.769 "04/28/23" "Darrian" "2/16/2023"
"301-4-25" "301" "1-80" -17.558 -2.28 0.441468380201043 "First_combo" "8" 9731.752 "04/28/23" "Darrian" "2/16/2023"
"301-4-26" "301" "1-80" -17.523 -1.60333333333333 0.456060841223033 "First_combo" NA NA "04/28/23" "Darrian" "2/16/2023"
"301-4-28" "301" "1-80" -18.466 -3.04333333333333 0.427499612463184 "First_combo" "9" 7205.745 "04/28/23" "Darrian" "2/16/2023"
"301-4-32" "301" "1-80" -18.487 -2.82333333333333 0.432391771568928 "First_combo" "9" 6308.6 "04/28/23" "Holly" "2/16/2023"
"301-4-35" "301" "1-80" -17.209 -2.26 0.44090318388564 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-4-37" "301" "1-80" -17.57 -2.53 0.435900728802132 "First_combo" "9" 8534.409 "04/28/23" "Holly" "2/16/2023"
"301-4-38" "301" "1-80" -18.76 -3.25 0.424009824992324 "First_combo" "9" 5036.588 "04/28/23" "Holly" "2/16/2023"
"301-4-39" "301" NA NA NA NA NA "10" 6410.279 NA NA "2/16/2023"
"301-4-41" "301" "1-80" -15.613 -0.800000000000001 0.470548340059005 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-4-42" "301" NA NA NA NA NA "10" 22523.076 NA NA "2/16/2023"
"301-4-43" "301" "1-80" -20.295 -4.11333333333333 0.411517383361846 "First_combo" NA NA "04/28/23" "Holly" "2/16/2023"
"301-4-46" "301" "1-80" -18.017 -2.56333333333334 0.436599018105632 "First_combo" "10" 11418.765 "04/28/23" "Holly" "2/16/2023"
"301-5-10" "301" "1-80" -16.721 -2.44 0.435139517600162 "First_combo" "11" 10997.86 "04/28/23" "Holly" "2/16/2023"
"301-5-19" "301" "1-80" -18.945 -4.04666666666667 0.406763738844528 "First_combo" "11" 6520.69 "04/28/23" "Holly" "2/16/2023"
"301-5-20" "301" "1-80" -16.938 -2.82 0.426802030456853 "First_combo" "11" 6019.511 "04/28/23" "Holly" "2/7/2023"
"301-5-21" "301" "1-80" -18.938 -3.28333333333333 0.423956685728191 "First_combo" "12" 3419.032 "04/28/23" "Holly" "2/7/2023"
"301-5-22" "301" "1-80" -16.962 -1.72666666666667 0.452202557809069 "First_combo" "12" 27357.016 "04/28/23" "Holly" "2/7/2023"
"301-5-24" "301" NA NA NA NA NA "12" 12150.559 NA NA "2/7/2023"
"301-5-27" "301" "1-80" -16.166 -1.36 0.458769962168134 "First_combo" "12" 9044.37 "04/28/23" "Holly" "2/7/2023"
"301-5-28" "301" "1-80" -18.018 -3.20666666666667 0.422018348623853 "First_combo" NA NA "04/28/23" "Holly" "2/7/2023"
"301-5-31" "301" "1-80" -18.076 -2.89666666666667 0.429365154528522 "First_combo" "13" 4605.249 "04/28/23" "Holly" "2/7/2023"
"301-5-32" "301" "1-80" -17.477 -2.71 0.43145738451529 "First_combo" NA NA "04/28/23" "Holly" "2/7/2023"
"301-5-41" "301" "1-80" -17.015 -1.86333333333333 0.449317107903424 "First_combo" "13" 5175.289 "04/28/23" "Holly" "2/7/2023"
"301-5-42" "301" "1-80" -17.746 -2.38333333333333 0.439712057588482 "First_combo" "13" 8985.115 "04/28/23" "Holly" "2/7/2023"
"301-5-6" "301" "1-80" -15.965 -0.846666666666668 0.469935920847306 "First_combo" "10" 18616.432 "04/28/23" "Holly" "2/15/2023"
"301-5-7" "301" "1-80" -20.405 -4.93333333333333 0.394096861359385 "First_combo" "11" 4491.906 "04/28/23" "Holly" "2/15/2023"
"302" "302" "315x320" -7.462 -4.43333333333333 0.656144878116216 "Pre_combo" "23" 6640.649 "03/16/23" "Darrian" "2/27/2023"
"302-1-12" "302" "1-80" -20.042 -2.39333333333333 0.445526475958612 "First_combo" "1" 8755.216 "04/28/23" "Darrian" "2/7/2023"
"302-1-16" "302" "1-80" -18.086 -2.37333333333333 0.440944638496492 "First_combo" "1" 14237.58 "04/28/23" "Darrian" "2/7/2023"
"302-1-17" "302" "1-80" -19.145 -3.24666666666667 0.425540852762025 "First_combo" "1" 7135.078 "04/28/23" "Darrian" "2/7/2023"
"302-1-18" "302" "1-80" -16.389 -0.486666666666668 0.478007452941364 "First_combo" NA NA "04/28/23" "Darrian" "2/7/2023"
"302-1-20" "302" "1-80" -17.065 -1.73 0.452360322197619 "First_combo" "2" 6845.648 "04/28/23" "Darrian" "2/7/2023"
"302-1-21" "302" "1-80" -17.961 -2.24666666666667 0.443311430696752 "First_combo" NA NA "04/28/23" "Darrian" "2/7/2023"
"302-1-22" "302" "1-80" -19.555 -3.13 0.429434248533831 "First_combo" "2" 13181.714 "04/28/23" "Darrian" "2/7/2023"
"302-1-23" "302" "1-80" -18.696 -2.81 0.433368692226095 "First_combo" "2" 13787.846 "04/28/23" "Darrian" "2/7/2023"
"302-1-25" "302" "1-80" -17.773 -2.42666666666667 0.438859596501752 "First_combo" "2" 6507.887 "04/28/23" "Darrian" "2/7/2023"
"302-1-26" "302" "1-80" -16.447 -0.976666666666667 0.467700174768593 "First_combo" NA NA "04/28/23" "Darrian" "2/7/2023"
"302-1-28" "302" "1-80" -17.778 -1.77666666666667 0.452917282127031 "First_combo" NA NA "04/28/23" "Darrian" "2/7/2023"
"302-1-3" "302" "1-80" -16.465 -0.57 0.476320727712223 "First_combo" "1" 13798.858 "04/28/23" "Darrian" "2/7/2023"
"302-1-33" "302" "1-80" -20.779 -3.82 0.419581005586592 "First_combo" "3" 3732.28 "04/28/23" "Darrian" "2/7/2023"
"302-1-34" "302" NA NA NA NA NA "3" 3009.411 "04/28/23" "Darrian" "2/7/2023"
"302-1-38" "302" NA NA NA NA NA "3" 3003.674 "04/28/23" "Darrian" "2/7/2023"
"302-1-39" "302" "1-80" -20.59 -3.57 0.423943149707635 "First_combo" "3" 6371.781 "04/28/23" "Darrian" "2/7/2023"
"302-1-40" "302" "1-80" -19.746 -2.69333333333334 0.438906569674926 "First_combo" "4" 6590.791 "04/28/23" "Darrian" "2/7/2023"
"302-1-41" "302" "1-80" -19.561 -4.05333333333333 0.409568367038938 "First_combo" "4" 2389.412 "04/28/23" "Darrian" "2/7/2023"
"302-1-44" "302" "1-80" -16.451 -1.17 0.463472702367752 "First_combo" "4" 12988.781 "04/28/23" "Darrian" "2/7/2023"
"302-1-45" "302" "1-80" -17.223 -1.84666666666667 0.450148453213294 "First_combo" NA NA "04/28/23" "Darrian" "2/7/2023"
"302-1-46" "302" "1281-1325-R" -20.354 -4.86333333333334 0.470444375065043 "Second_combo" "4" 9616.616 "05/01/23" "Holly" "2/7/2023"
